book_code,book_title,book_author,book_publisher,book_borrow,book_lang,book_type,book_year
52,Do it! 오토캐드 2023,박한울,이지스퍼블리싱,0,kor,book,2022
53,된다! NFT 메타버스 저작권 문제 해결,오승종_ 김연수,이지스퍼블리싱,0,kor,ebook,2019
54,7살 첫 영어 - 알파벳 ABC,징검다리 교육연구소 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2010
55,Do it! 쉽게 배우는 파이썬 데이터 분석,김영우,이지스퍼블리싱,0,kor,book,2011
56,Do it! 공공데이터 배우는 R 데이터 분석 with 샤이니,김철민,이지스퍼블리싱,0,kor,book,2012
57,된다! NFT 메타버스 저작권 문제 해결,오승종_ 김연수,이지스퍼블리싱,0,kor,book,2013
58,아이패드로 캐릭터 디자인 with 프로크리에이트,3dtotal Publishing,이지스퍼블리싱,0,kor,ebook,2014
59,Do it! 점프 투 파이썬 - 라이브러리 예제 편,박응용,이지스퍼블리싱,0,kor,ebook,2015
60,Do it! 점프 투 파이썬 - 라이브러리 예제 편,박응용,이지스퍼블리싱,0,kor,book,2017
61,Do it! 클론 코딩 줌,니꼴라스_ 강윤호,이지스퍼블리싱,0,kor,book,2010
62,바쁜 초등학생을 위한 빠른 평면도형 계산,징검다리 교육연구소,이지스에듀,0,kor,book,2011
63,바쁜 초등학생을 위한 빠른 자연수의 혼합 계산,징검다리 교육연구소_ 호사라,이지스에듀,0,kor,book,2018
64,된다! 메타버스 입문자를 위한 게더타운 완전 활용법,윤진_ 이현도,이지스퍼블리싱,0,kor,book,2019
65,아이패드로 캐릭터 디자인 with 프로크리에이트,3dtotal Publishing,이지스퍼블리싱,0,kor,book,2010
66,Do it! 자료구조와 함께 배우는 알고리즘 입문 ― 자바 편(전면 개정판),시바타 보요,이지스퍼블리싱,0,kor,book,2011
67,Do it! 알고리즘 코딩 테스트 - 자바 편,김종관,이지스퍼블리싱,0,kor,ebook,2012
68,바쁜 초등학생을 위한 빠른 독해 6단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2013
69,Do it! 첫 인공지능,이애리,이지스퍼블리싱,0,kor,book,2014
70,Do it! 알고리즘 코딩 테스트 - 자바 편,김종관,이지스퍼블리싱,0,kor,book,2015
71,된다! 하루 5분 노션 활용법 ― 포트폴리오_ 개인 관리_ 업무 협업,이다슬,이지스퍼블리싱,0,kor,ebook,2017
72,바쁜 초등학생을 위한 빠른 독해 5단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2010
73,바쁜 초등학생을 위한 빠른 영단어 Starter2,윤미영,이지스에듀,0,kor,ebook,2011
74,된다! 최반장의 실무 엑셀 with 피벗 테이블,최재완(최반장),이지스퍼블리싱,0,kor,book,2018
75,바쁜 초등학생을 위한 빠른 영단어 Starter2,윤미영,이지스에듀,0,kor,book,2019
76,된다! 하루 5분 노션 활용법 ― 포트폴리오_ 개인 관리_ 업무 협업,이다슬,이지스퍼블리싱,0,kor,book,2023
77,바쁜 초등학생을 위한 빠른 길이와 시간 계산,징검다리 교육연구소_ 강난영,이지스에듀,0,kor,book,2010
78,된다! 깨비의 DSLR & 미러리스 사진 수업,박기덕,이지스퍼블리싱,0,kor,book,2011
79,바쁜 초등학생을 위한 빠른 약수와 배수,징검다리 교육연구소_ 강난영,이지스에듀,0,kor,book,2012
80,바쁜 초등학생을 위한 빠른 영단어 Starter1,윤미영,이지스에듀,0,kor,book,2013
81,바쁜 초등학생을 위한 빠른 독해 4단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2014
82,Do it! BERT와 GPT로 배우는 자연어 처리,이기창,이지스퍼블리싱,0,kor,ebook,2015
83,Do it! 자바스크립트 입문,고경희,이지스퍼블리싱,0,kor,ebook,2017
84,Do it! BERT와 GPT로 배우는 자연어 처리,이기창,이지스퍼블리싱,0,kor,book,2010
85,된다! 맥북&아이맥 - 맥OS 몬터레이 판,김기백_ 조영빈_ 이민호_ 정다운,이지스퍼블리싱,0,kor,ebook,2011
86,된다! 맥북&아이맥 - 맥OS 몬터레이 판,김기백_ 조영빈_ 이민호_ 정다운,이지스퍼블리싱,0,kor,book,2018
87,바쁜 초등학생을 위한 빠른 독해 3단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2019
